Product_ID,Links,Title,Short_title,Price,Introducing,Date_Time,Description
44,https://www.bakingo.com/sites/default/files/styles/might_like/public/kit-kat-cake-A.jpg?itok=JPScqrmA,"Kit Kat ""Bake""",Kit Kat Cake,Rs. 550,You'll fall in love at first bite! Deviate to the contours of crunchy goodness with the jaw dropping kit-kat bake!,2018-06-15 08:30:24.175453,Your beloved kit-kat break just evolved to a whole new level with wafer chocolate frosting and a two-layered delectable chocolaty cake. Utterly mouth-watering treat with whipped dark and brown Chocolate cream and kit kat bars on its crown. Note: Number of Kit Kat bars will vary depending on cake weight
45,https://www.bakingo.com/sites/default/files/styles/might_like/public/oreo-chocolate-cake-A.jpg?itok=r9feRWJB,Oreoholic'S Delight,Oreo Choco Cake,Rs. 525,Redefining taste of Original Oreo with a kick of extra rich chocolate and freshly whipped cream. Taste the Passion!,2018-06-15 08:30:24.175460,"Well, this one comes with a warning! This delectable treat is no less than a delight to the O-RE-O-HO-LICs. So, if you serve this yummylicious two-layered rich creamy Choco-Oreo Cake, all the more frosted with Oreo Cookies, you'll be starting a tradition. One that's going to be tough to break!"
46,https://www.bakingo.com/sites/default/files/styles/might_like/public/5-star-cake-A.jpg?itok=mG2RNje6,Twisted B.F.Tale,Five Star Cake,Rs. 550,A little twist to this Black Forest with 5-star chunks is bound to leave you drooling for more after every bite.,2018-06-15 08:30:24.175467,The classic Black Forest has reached another level of indulgence with sweet chunks of 5-Star loaded on the top of richly whipped cream. The triple chocolate layer makes this Black Forest a mouth watering temptation. Wait No more! Savour the unforgettable treat that tastes like pure magic!
47,https://www.bakingo.com/sites/default/files/styles/might_like/public/kiwi-fruit-cake-A.jpg?itok=r9Ge4lSg,Kiwi-Licious,Kiwi Fruit Cake,Rs. 600,Slip into a slice and enter the world of exotica especially meant for the Kiwi Lovers who just can't get enough.,2018-06-15 08:30:24.175473,"Coming up with one of the finest tastes, this is going to make your taste buds climb up to an unforgettable experience. Made of three rich and smooth creamy layers packed with the tropical fruits - Kiwi, Pineapple and Cherries, and topped with even more fruits, this cake is sure to relish your sweet tooth fruity desires with its exotic fruit delight."
48,https://www.bakingo.com/sites/default/files/styles/might_like/public/tiramisu-cheese-cake-A.jpg?itok=6NcDuAxP,Tiramisu Cheese Cake,Tiramisu Cheese Cake,Rs. 899,"When coffee, cheese and cream come together, all you get is an impeccably delicious treat.",2018-06-15 08:30:24.175480,"Have you ever wondered what 'Delicious' looks like in real? Take a look at this cheesecake and we bet, you won't be able to take your eyes off this impeccably designed treat. Take a bite and you would not be able to resist yourself from having more of it. This is how delicious this cake is! With cheese and swirls of richly whipped cream to top it off, it is sure to become your personal favourite."
49,https://www.bakingo.com/sites/default/files/styles/might_like/public/heartilicious-love-cake0362blac-310118-A.jpg?itok=OEmsINjk,Heartilicious Love,Black Forest Heart Gateau,Rs. 549,"Baked in the flavors of love, drown yourself in the scrumptiousness of the gateau so good!",2018-06-15 08:30:24.175487,"A grand occasion calls for a grand gift. Celebrate love baked in the finest flavors of chocolate love and fondant hearts. Swoon them in the delicious symphony of love and send love in a gorgeous manner. Stacked up with layers of creamy dreams and topped with the greatest heart, place your order to send one now!"
50,https://www.bakingo.com/sites/default/files/styles/might_like/public/classic-one-cake0364chtr-310118-A.jpg?itok=EoioZtVS,Classic One,Fondant Heart Truffle Cake,Rs. 549,Nothing defines love at first bite better than this ultimate mouth-watering chocolate cake,2018-06-15 08:30:24.175494,"If you feel that your heart simply belongs to no one else but them, this cake is sure to explicitly convey to your one and only love. Send them an ultimate chocolate indulgence topped with a fondant heart and see them dazzling away from its very first sight to its last bite. Place your order and send decadence today!"
51,https://www.bakingo.com/sites/default/files/styles/might_like/public/opera-cake-A.jpg?itok=gdm9oBYJ,Caffe-Elixir,Coffee Opera Cake,Rs. 550,Kick-start your day with divine coffee flavours infused in this perfectly delicious treat meant for coffee-holics!,2018-06-15 08:30:24.175502,"Add refreshment to your routine anytime during the day with perfect coffee flavours of this scrumptious cake and keep yourself alive and active with its relishing taste. Triple layered with whipped cream, this one is is the best snack to be savoured throughout your day! No doubt we call it our Wonder Cake!"
52,https://www.bakingo.com/sites/default/files/styles/might_like/public/heart-shaped-choco-vanilla-cake-A.jpg?itok=3lDMYMpf,Heart-licious Pleasure,Heart Shaped Choco Vanilla Cake,Rs. 699,What happens when Chocolate & Vanilla come together? A top deck cake that is jaw-droppingly delicious.,2018-06-15 08:30:24.175509,"This lusciously rich, moist, and decadent three layer cake is a FANTASY COME TRUE. Each slice will serve/bring you the taste of chocolate and creamy vanilla deliciously nestled between the layers. The heart-shaped cake with an extra rich romantic frosting of chocolate and vanilla, and hand-crafted fondant red roses is the perfect dessert for your beloved on Birthdays, Anniversary, Valentine's Day and more."
53,https://www.bakingo.com/sites/default/files/styles/might_like/public/chocolate-strawberry-cake-A.jpg?itok=Wj8ewZcm,Luscious Chocoberry,Choco Strawberry Cake,Rs. 525,This craft of love made with luscious strawberries and rich chocolate will take you on a ride to Heaven.,2018-06-15 08:30:24.175517,Every piece of this delicious delight is like tasting a serving from heaven. The two layers of strawberry rich cream in the mushy chocolate cake will give you the reminiscence of romance and springtime. A savouring treat for the epicureans who don't need reasons to relish the pleasure of great taste!
